總價元,土地移轉總面積平方公尺,總樓層數,建築完成年月日,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,Cluster
15.104743481723089,2.0438143640366846,2.0794415416798357,4.727387818712341,3.816612820623488,0.6931471805599453,0.6931471805599453,0.6931471805599453,11.310393037560129,0.0,0.0,3.484925597192868,0.0,1.556037135706985,0.6931471805599453
14.626441218624949,2.0228711901914416,1.9459101490553132,4.564348191467836,3.3243163373261977,0.6931471805599453,0.6931471805599453,0.6931471805599453,11.338798242724431,0.0,0.0,2.8741294517947424,0.7178397931503168,0.0,0.6931471805599453
13.384729180332174,0.5007752879124892,2.3978952727983707,4.59511985013459,1.7984040119467235,0.0,0.0,0.0,11.425841358063115,0.0,13.384729180332174,0.0,0.0,0.0,0.6931471805599453
16.118095750958314,2.427454075039915,2.772588722239781,4.59511985013459,4.700571270751344,1.6094379124341003,1.0986122886681098,1.0986122886681098,11.426670165718141,0.0,0.0,4.039536325727106,0.0,1.8991179875485542,0.6931471805599453
15.894952224644102,3.136797713832594,1.9459101490553132,4.574710978503383,4.82068471013781,1.3862943611198906,0.6931471805599453,1.0986122886681098,11.08237329148542,0.0,0.0,4.406109305189839,1.4060969884160703,2.3105532626432224,0.6931471805599453
16.14765455028724,4.489534842389167,1.6094379124341003,4.653960350157523,5.126757692398113,1.3862943611198906,1.3862943611198906,1.6094379124341003,11.026873751302885,0.0,0.0,4.960253864535331,0.0,3.289893312103481,0.6931471805599453
15.170314509990696,2.3933394562625097,2.5649493574615367,4.465908118654584,4.4725526613732525,1.3862943611198906,1.3862943611198906,1.0986122886681098,10.709271214599578,0.0,0.0,4.094177881665002,0.0,2.234306252240751,0.6931471805599453
15.394489469099211,2.5257286443082556,1.9459101490553132,4.430816798843313,3.9229629454664803,1.3862943611198906,1.0986122886681098,1.0986122886681098,11.491517950531343,0.0,0.0,3.436564525499447,1.1939224684724346,0.0,0.6931471805599453
13.304686600863562,0.5007752879124892,2.3978952727983707,4.59511985013459,1.7984040119467235,0.0,0.0,0.0,11.425841358063115,0.0,13.304686600863562,0.0,0.0,0.0,0.6931471805599453
13.384729180332174,0.5007752879124892,2.3978952727983707,4.59511985013459,1.7984040119467235,0.0,0.0,0.0,11.425841358063115,0.0,13.384729180332174,0.0,0.0,0.0,0.6931471805599453
16.066802461833923,3.0577676644734435,2.1972245773362196,4.499809670330265,4.791151703613533,1.3862943611198906,1.0986122886681098,1.0986122886681098,11.284002746391979,0.0,0.0,4.367420482284519,0.0,2.5649493574615367,0.6931471805599453
16.99189637294775,2.729159164312445,3.258096538021482,4.624972813284271,5.218137149420508,1.3862943611198906,1.0986122886681098,1.0986122886681098,11.779197468884115,3.416742592997618,0.0,4.499920775268994,1.5173226235262949,2.5847519847577165,1.0986122886681098
15.64006001130563,1.7850704810772584,2.5649493574615367,4.6443908991413725,3.8299448943925394,0.6931471805599453,0.6931471805599453,0.6931471805599453,11.832069866611866,0.0,0.0,3.1402654242862895,0.8796267475025636,1.0818051703517284,0.6931471805599453
15.90737474309945,4.385769620952716,1.0986122886681098,4.727387818712341,4.891100725401066,1.3862943611198906,1.0986122886681098,1.0986122886681098,11.023828716667804,0.0,0.0,4.891100725401066,0.0,0.0,0.6931471805599453
17.622173069956816,6.066131291690738,0.6931471805599453,4.727387818712341,5.003946305945459,1.791759469228055,0.6931471805599453,1.3862943611198906,12.62496388507675,0.0,0.0,5.003946305945459,0.0,0.0,1.0986122886681098
14.077875591662238,3.9444901955656477,1.0986122886681098,4.290459441148391,4.328757705794541,1.791759469228055,1.0986122886681098,1.0986122886681098,9.762442287054013,0.0,0.0,4.328757705794541,0.0,0.0,0.6931471805599453
13.592368256649284,2.7536607123542622,1.6094379124341003,4.477336814478207,3.4803165861147547,0.6931471805599453,0.6931471805599453,0.6931471805599453,10.143370219854614,0.0,0.0,3.1493113614822916,0.0,1.308332819650179,0.6931471805599453
15.86963441986494,0.0,2.70805020110221,4.727387818712341,3.9529729917571004,0.0,0.0,0.0,11.425841358063115,3.9529729917571004,0.0,0.0,0.0,0.0,0.6931471805599453
15.830413711839864,3.2311995745570328,1.791759469228055,4.532599493153256,4.6378309682276395,1.0986122886681098,1.0986122886681098,1.0986122886681098,11.202315887874743,0.0,0.0,4.046379057927225,1.4747630091074988,2.299580583973747,0.6931471805599453
16.436549454804126,5.5876605585764505,0.6931471805599453,4.276666119016055,4.467056883858457,1.6094379124341003,1.0986122886681098,1.3862943611198906,11.981046072442735,0.0,0.0,4.387014176184921,2.0412203288596382,0.0,0.6931471805599453
13.500801182986649,0.8372475245337022,3.091042453358316,4.454347296253507,3.4781584227982836,0.0,0.0,0.0,11.425841358063115,0.0,13.500801182986649,0.0,0.0,0.0,0.6931471805599453
15.424948670398354,3.282038399825841,1.791759469228055,4.727387818712341,4.4029315953537775,1.3862943611198906,1.0986122886681098,1.0986122886681098,11.034357264263106,0.0,0.0,4.293878247897177,0.0,2.244955980157409,0.6931471805599453
16.759949589762293,5.064555136085686,1.6094379124341003,4.51085950651685,5.5762899541409245,2.6390573296152584,0.6931471805599453,2.772588722239781,11.18747229483145,0.0,0.0,5.379989515192062,3.344979701663927,3.030616675407493,0.6931471805599453
15.999312227580958,3.204776900488699,2.0794415416798357,4.430816798843313,4.766353223579481,1.3862943611198906,1.0986122886681098,1.0986122886681098,11.241523483091212,0.0,0.0,4.455973879625964,0.0,2.5756610130564646,0.6931471805599453
